|codigo|tema|ativo|ordem|livro|banco_tematico|versos|verbetes_no_texto|verbetes_do_tema|total_de_itimos|qtd_de_variacoes|qtd_cientifica|
|M0099|Paz|S|99||beauty|3|10|39|51|108108|1.08e+05|
|M0100|Pedidos|S|100|livro vivo|author|8|21|170|95|40236134400|4.02e+10|
|M0101|Perfil|S|101|jocosos;sociais;outros autores|beauty|6|17|352|236|20427651921600000|2.04e+16|
|M0102|Pessoa|S|102|livro vivo;outros autores|author|7|20|98|58|4665600|4.67e+06|
|M0103|Portal|S|103|variações|machina|6|14|393|298|1754298589680|1.75e+12|
|M0104|Posfácio|S|104|livro vivo|author|16|49|289|267|23356081768224522240000000|2.34e+25|
|M0105|Preciso|S|105|livro vivo;sociais|joco|11|28|227|165|4307843284992000|4.31e+15|
|M0106|Prefácil|S|106|livro vivo;metalinguagem|joco|13|39|334|310|8113087959898521600000000|8.11e+24|
|M0107|Psiu|S|107|poemas;variações|persona|4|15|524|322|3464123520|3.46e+09|
|M0108|Reger|S|108|livro vivo;poemas|anima|7|18|119|85|404352000|4.04e+08|
|M0109|Reinos|S|109|jocosos|joco|11|29|220|256|789146976367411200|7.89e+17|
|M0110|Remedeio|S|110|jocosos|joco|3|7|415|185|1967232|1.97e+06|
|M0111|Restos|S|111||author|5|13|123|116|589906800|5.90e+08|
|M0112|Rever|S|112|livro vivo;poemas|anima|4|8|132|77|2519424|2.52e+06|
|M0113|Rito|S|113|livro vivo;jocosos|joco|4|13|151|169|57550500000|5.76e+10|
|M0114|Salute|S|114|variações|machina|5|9|542|267|32637136896|3.26e+10|
|M0115|Saudades|S|115|livro vivo;poemas|persona|6|16|271|181|7420616146944|7.42e+12|
|M0116|Seguro|S|116|livro vivo;jocosos;sociais|joco|9|16|118|67|373248000|3.73e+08|
|M0117|Sentença|S|117|livro vivo|anima|7|21|256|165|159667040332800|1.60e+14|
|M0118|Ser|S|118|livro vivo;poemas|anima|5|10|160|82|849660|8.50e+05|
|M0119|Silente|S|119|livro vivo;poemas|anima|9|30|319|254|313233575510016000000|3.13e+20|
|M0120|Sinais|S|120|poemas;ensaios;variações|anima|5|15|242|319|329504881305600|3.30e+14|
|M0121|Sinas|S|121|variações|beauty|5|13|242|285|2526115680000|2.53e+12|
|M0122|Slogans|S|122||machina|3|3|1004|2952|952763904|9.53e+08|
|M0123|Sn6=ball|S|123|ensaios;variações|machina|13|18|242|252|258863705100000|2.59e+14|
|M0124|Sn8=ball|S|124|ensaios;variações|machina|16|18|242|251|1682614083150000|1.68e+15|
|M0125|SnowBall|S|125|ensaios;variações;metalinguagem|machina|20|26|416|427|20441528502877359259200000|2.04e+25|
|M0126|Solero|S|126||author|8|19|381|252|34215616512000|3.42e+13|
|M0127|Sonoro|S|127|livro vivo;poemas|anima|3|5|116|90|1192320|1.19e+06|
|M0128|Sopros|S|128|livro vivo;poemas|anima|9|26|255|189|94680907776000000|9.47e+16|
|M0129|Sos|S|129|livro vivo;jocosos|joco|5|17|211|220|6111356719104|6.11e+12|
|M0130|Tempo|S|130|livro vivo;poemas;variações|machina|14|43|941|1745|112765820236797923580529825269143876665344000000000|1.13e+50|
|M0131|Tempus|S|131|poemas|machina|6|18|107|99|87178291200|8.72e+10|
|M0132|Tiro|S|132|livro vivo;metalinguagem|author|9|23|496|384|2903854393440000000|2.90e+18|
|M0133|Tolero|S|133|variações|anima|14|27|324|420|6372790375311360000|6.37e+18|
|M0134|Travessia|S|134||anima|7|16|58|63|49140|4.91e+04|
|M0135|Usinas|S|135|livro vivo;poemas|anima|7|34|252|225|102938787190407168000|1.03e+20|
|M0136|Veio|S|136|livro vivo;poemas|anima|7|30|371|318|2907865942960295116800|2.91e+21|
|M0137|Victor|S|137|poemas;outros autores|author|8|15|178|112|308998800|3.09e+08|
|M0138|Vozes|S|138|jocosos|joco|3|6|134|85|393120|3.93e+05|
|M0139|Zelo|S|139|poemas;variações|persona|6|13|410|246|151240320|1.51e+08|
|M0140|Zodiacaos|S|140|jocosos|esoteric|16|55|413|375|14365992237323928993792000000000000|1.44e+34|
|M0141|Zoia|S|141|livro vivo;poemas;variações|persona|14|50|213|484|23297836384021203533168640000000000|2.33e+34|
|M0142|Aquarius=f|S|142|signos_fem|esoteric|8|18|123|75|107811000|1.08e+08|
|M0143|Aquarius=m|S|143|signos_mas|esoteric|8|18|124|75|107811000|1.08e+08|
|M0144|Aries=f|S|144|signos_fem|esoteric|6|12|101|58|1848000|1.85e+06|
|M0145|Aries=m|S|145|signos_mas|esoteric|6|12|101|58|1848000|1.85e+06|
|M0146|Cancer=f|S|146|signos_fem|esoteric|7|16|113|82|30965760|3.10e+07|
|M0147|Cancer=m|S|147|signos_mas|esoteric|7|16|113|82|30965760|3.10e+07|
|M0148|Caprico=f|S|148|signos_fem|esoteric|7|25|122|86|459841536|4.60e+08|
